target = QVector(200, 1150, 390, 0, -0.78, 0)
Tiempo:  7, Tnorm:  99.8795, Rnorm:  0.698109 
Tiempo:  12, Tnorm:  78.611, Rnorm:  0.0795208 
Tiempo:  17, Tnorm:  39.5983, Rnorm:  0.0586661 
Tiempo:  22, Tnorm:  43.6983, Rnorm:  0.057575 
Tiempo:  27, Tnorm:  42.296, Rnorm:  0.027865 
Tiempo:  32, Tnorm:  47.8099, Rnorm:  0.0535461 
Tiempo:  36, Tnorm:  44.0813, Rnorm:  0.0259209 
Tiempo:  41, Tnorm:  41.1308, Rnorm:  0.0227246 
Tiempo:  46, Tnorm:  40.3001, Rnorm:  0.0304444 
Tiempo:  50, Tnorm:  45.5557, Rnorm:  0.0188817 
Tiempo:  55, Tnorm:  46.5642, Rnorm:  0.0182814 
Tiempo:  60, Tnorm:  41.3461, Rnorm:  0.0308573 
Tiempo:  65, Tnorm:  40.5218, Rnorm:  0.0308743 


target = QVector(250, 850, 410, 0, -0.78, 0) 
Tiempo:  10, Tnorm:  48.2864, Rnorm:  0.2243 
Tiempo:  15, Tnorm:  23.3723, Rnorm:  0.0487581 
Tiempo:  19, Tnorm:  22.8783, Rnorm:  0.0497514 
Tiempo:  24, Tnorm:  22.9011, Rnorm:  0.0498159 
Tiempo:  29, Tnorm:  22.7816, Rnorm:  0.0486837 
Tiempo:  33, Tnorm:  22.8641, Rnorm:  0.0494092 
Tiempo:  38, Tnorm:  22.8386, Rnorm:  0.0494796 
Tiempo:  43, Tnorm:  22.772, Rnorm:  0.0494118 
Tiempo:  47, Tnorm:  22.801, Rnorm:  0.0487662 
Tiempo:  52, Tnorm:  22.7216, Rnorm:  0.0499726 
Tiempo:  56, Tnorm:  22.6376, Rnorm:  0.0485405 
Tiempo:  61, Tnorm:  22.6655, Rnorm:  0.0493488 


target = QVector(550, 1000, 280, 0, -0.78, 0) 
Tiempo:  1 , Tnorm:  727.352 , Rnorm:  1.66662 
Tiempo:  9 , Tnorm:  169.456 , Rnorm:  0.271868 
Tiempo:  20 , Tnorm:  37.5286 , Rnorm:  0.130409 
Tiempo:  25 , Tnorm:  37.4054 , Rnorm:  0.123007 
Tiempo:  31 , Tnorm:  37.9426 , Rnorm:  0.124353 
Tiempo:  37 , Tnorm:  37.4641 , Rnorm:  0.123229 
Tiempo:  42 , Tnorm:  37.4549 , Rnorm:  0.123598 
Tiempo:  48 , Tnorm:  37.0091 , Rnorm:  0.123351 
Tiempo:  54 , Tnorm:  37.9967 , Rnorm:  0.125656 
Tiempo:  59 , Tnorm:  37.3627 , Rnorm:  0.123083 
Tiempo:  65 , Tnorm:  37.7632 , Rnorm:  0.126142 


target = QVector(340, 1000, 400, 0, -0.78, 0)
Tiempo:  7  , Tnorm:   83.8575  , Rnorm:  0.292433 
Tiempo:  12  , Tnorm:   26.6522  , Rnorm:  0.0399331 
Tiempo:  17  , Tnorm:   27.3765  , Rnorm:  0.0174027 
Tiempo:  22  , Tnorm:   38.1066  , Rnorm:  0.0438425 
Tiempo:  28  , Tnorm:   38.0825  , Rnorm:  0.0425922 
Tiempo:  37  , Tnorm:   37.3824  , Rnorm:  0.0249995 
Tiempo:  42  , Tnorm:   39.3313  , Rnorm:  0.0244404 
Tiempo:  46  , Tnorm:   37.1087  , Rnorm:  0.0191481 
Tiempo:  51  , Tnorm:   34.7371  , Rnorm:  0.0235023 
Tiempo:  56  , Tnorm:   34.5469  , Rnorm:  0.0195234 
Tiempo:  60  , Tnorm:   35.6925  , Rnorm:  0.0171609 
Tiempo:  72  , Tnorm:   36.2373  , Rnorm:  0.0108622 


target = QVector(200, 950, 400, 0, -0.78, 0)
Tiempo:  6  , Tnorm:   17.7608  , Rnorm:  0.140918 
Tiempo:  12  , Tnorm:   28.1756  , Rnorm:  0.10709 
Tiempo:  17  , Tnorm:   34.4132  , Rnorm:  0.0402495 
Tiempo:  22  , Tnorm:   40.3421  , Rnorm:  0.0335105 
Tiempo:  27  , Tnorm:   44.3942  , Rnorm:  0.0391518 
Tiempo:  32  , Tnorm:   43.9299  , Rnorm:  0.0297899 
Tiempo:  36  , Tnorm:   44.5803  , Rnorm:  0.0206876 
Tiempo:  41  , Tnorm:   44.3551  , Rnorm:  0.0165964 
Tiempo:  46  , Tnorm:   42.9803  , Rnorm:  0.0202362 
Tiempo:  50  , Tnorm:   45.55  , Rnorm:  0.0149123 
Tiempo:  55  , Tnorm:   45.5226  , Rnorm:  0.0164385 
Tiempo:  60  , Tnorm:   43.8212  , Rnorm:  0.0132854 
Tiempo:  64  , Tnorm:   44.1359  , Rnorm:  0.0228486 


target = QVector(250, 925, 350, 0, -0.78, 0) 
Tiempo:  6  , Tnorm:   42.9884  , Rnorm:  0.138656 
Tiempo:  12  , Tnorm:   23.1458  , Rnorm:  0.113538 
Tiempo:  17  , Tnorm:   31.5888  , Rnorm:  0.0197193 
Tiempo:  22  , Tnorm:   37.4012  , Rnorm:  0.0437666 
Tiempo:  26  , Tnorm:   46.9559  , Rnorm:  0.0487677 
Tiempo:  32  , Tnorm:   39.5191  , Rnorm:  0.029412 
Tiempo:  36  , Tnorm:   38.7602  , Rnorm:  0.0297167 
Tiempo:  41  , Tnorm:   39.8108  , Rnorm:  0.017134 
Tiempo:  46  , Tnorm:   37.1058  , Rnorm:  0.0259366 
Tiempo:  50  , Tnorm:   39.4458  , Rnorm:  0.0218406 
Tiempo:  55  , Tnorm:   38.7138  , Rnorm:  0.0178602 
Tiempo:  60  , Tnorm:   37.3431  , Rnorm:  0.016745 
Tiempo:  64  , Tnorm:   37.9986  , Rnorm:  0.0117726


target = QVector(550, 1000, 150, 0, -0.78, 0) 
Tiempo:  6  , Tnorm:   187.164  , Rnorm:  0.286476 
Tiempo:  15  , Tnorm:   179.144  , Rnorm:  0.281235 
Tiempo:  23  , Tnorm:   179.527  , Rnorm:  0.279914 
Tiempo:  31  , Tnorm:   179.621  , Rnorm:  0.277834 
Tiempo:  40  , Tnorm:   179.115  , Rnorm:  0.285342 
